"Champion Name"
"Aatrox"
"Akali"
"Alistar"
"Amumu"
"Bel'Veth"
"Briar"
"Camille"
"Darius"
"Diana"
"Dr. Mundo"
"Ekko"
"Evelynn"
"Fiora"
"Fizz"
"Garen"
"Gnar"
"Gragas"
"Hecarim"
"Illaoi"
"Jarvan IV"
"Jax"
"Kayn"
"Kha'Zix"
"Kled"
"Lee Sin"
"Malphite"
"Master Yi"
"Maokai"
"Mordekaiser"
"Nasus"
"Nautilus"
"Nilah"
"Nocturne"
"Nunu & Willump"
"Olaf"
"Pantheon"
"Poppy"
"Rammus"
"Rek'Sai"
"Renekton"
"Rengar"
"Riven"
"Sejuani"
"Sett"
"Shaco"
"Shen"
"Shyvana"
"Sion"
"Skarner"
"Sylas"
"Tahm Kench"
"Talon"
"Thresh"
"Trundle"
"Tryndamere"
"Udyr"
"Urgot"
"Vi"
"Volibear"
"Warwick"
"Wukong"
"Xin Zhao"
"Yasuo"
"Yone"
"Yorick"
"Zac"
"Zed"
